snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
268	12.17.2020	19:00:03.245022	0.074119
269	12.17.2020	19:12:49.065967	4.4351
271	12.17.2020	19:14:16.504121	1.41489
272	12.17.2020	19:14:19.468126	3.24042
273	12.17.2020	19:15:31.337452	1.45587
274	12.17.2020	19:20:36.817189	2.25175
275	12.17.2020	19:25:38.771319	2.87507
276	12.17.2020	19:26:07.194569	2.92147
277	12.17.2020	19:26:13.481380	3.83094
278	12.17.2020	19:28:08.937183	0.15379
279	12.17.2020	19:28:11.448788	4.28111
280	12.17.2020	19:28:25.457612	1.71172
281	12.17.2020	19:29:18.419705	2.17141
282	12.17.2020	19:29:44.097350	1.30226
283	12.17.2020	19:30:47.729862	2.52897
284	12.17.2020	19:30:55.046275	2.67455
285	12.17.2020	19:31:02.191087	0.0624627
286	12.17.2020	19:31:48.803969	3.45544
287	12.17.2020	19:32:12.594011	3.76789
288	12.17.2020	19:32:36.384053	1.9428
289	12.17.2020	19:32:37.008054	2.91917
